Track,"Car","Race #","Driver","Team","Lap","Position","Fuel","Pen","Lap Time","Sector 1","Sector 2","Sector 3","Gap","TimingFlags","Delta RR","Delta QR","Delta RS","Delta QS","Condition","Tyres","Pos (Start Lap)","Fuel (Start Lap)","Position Δ","Wind Speed","Wind Direction","Brake Bias","Track Grip","Rain Intensity","Tyre","Tyre Set","Suspension Damage FL","Suspension Damage FR","Suspension Damage RL","Suspension Damage RR","Lap 0 Timestamp","Real Timestamp","Real Duration","° Air","° Road","° FL","° FR","° RL","° RR","Accel From","Accel to","Accidents","Adjusted timestamp","Brake ° FL","Brake ° FR","Brake ° RL","Brake ° RR","Brake Compound F","Brake Compound R","Brand","Category","Cup","Damage Front","Damage Left","Damage Rear","DamageRight","Driver ID","ECU Mode","ELO","First Name","Flags","Lap Completed Timestamp","Lap Type","Last Name","Licence","Max Speed","Nation Flag","Nationality","p FL","p FR","p RL","p RR","Peak Accel","Peak Accel Dist","Peak Accel Time","Penalty","Penalty Code","PenaltyTime","Player ID","Player Unclear","Position (Broadcast)","Repair Time","Session ID","Short Name","SR","Timestamp"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","11","4","67,5L","","1:41,675","0:21,755","0:32,395","0:47,525","+0,205","1026","-0,971","+0,462","-5,972","-5,886","OPTIMUM","Dry","4","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","18:47,261","","20,6°C","20,6°C","72,5°C","78,8°C","83,5°C","88,2°C","71","248","0","","468,8°C","471,8°C","466,8°C","468,3°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","47:06,520","Regular","Synkkänen","","264 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,1 psi","22,3707753479125","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","12","4","64,9L","","1:41,735","0:21,837","0:32,715","0:47,182","+0,215","0","-0,911","+0,522","-5,912","-5,826","OPTIMUM","Dry","4","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","20:29,088","","20,6°C","20,6°C","72,6°C","78,5°C","83,4°C","88,1°C","71","248","0","","483,8°C","487,9°C","481,6°C","483,7°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","48:48,257","Regular","Synkkänen","","267 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,1 psi","22,6287819253438","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","13","3","62,3L","","1:41,490","0:21,767","0:32,702","0:47,020","+1,475","0","-1,156","+0,277","-6,157","-6,071","OPTIMUM","Dry","4","0","+1","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","22:10,651","","20,6°C","20,6°C","72,6°C","78,3°C","83,4°C","88,1°C","71","248","0","","468,0°C","471,5°C","468,5°C","470,4°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","50:29,745","Regular","Synkkänen","","268 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,1 psi","22,6805068226121","828,765","16159","0","","0","1","True","3","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","14","3","59,7L","","1:41,615","0:21,832","0:32,435","0:47,347","+1,455","0","-1,031","+0,402","-6,032","-5,946","OPTIMUM","Dry","3","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","23:52,196","","20,5°C","20,5°C","72,8°C","78,8°C","83,9°C","88,7°C","71","248","0","","466,9°C","470,0°C","467,4°C","469,1°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","52:11,355","Regular","Synkkänen","","264 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,2 psi","22,0496131528046","828,765","16159","0","","0","1","True","3","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","15","3","57,1L","","1:41,620","0:21,835","0:32,482","0:47,302","+1,042","0","-1,026","+0,407","-6,027","-5,941","OPTIMUM","Dry","3","0","","0,0 Km/h","N","45,0%","Optimum","No Rain","DHE","3","0","0","0","0","","25:33,903","","20,5°C","20,5°C","72,4°C","78,4°C","83,5°C","88,6°C","71","248","0","","461,3°C","464,8°C","461,5°C","463,4°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","53:52,975","Regular","Synkkänen","","264 Km/h","","Finland","27,0 psi","27,0 psi","27,0 psi","27,1 psi","23,6898452611219","828,765","16159","0","","0","1","True","3","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","16","3","54,5L","","1:41,727","0:21,772","0:32,600","0:47,355","+0,858","0","-0,919","+0,514","-5,920","-5,834","OPTIMUM","Dry","3","0","","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","27:15,526","","20,4°C","20,4°C","72,2°C","77,9°C","83,4°C","88,4°C","71","248","0","","459,9°C","463,0°C","458,8°C","460,6°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","55:34,705","Regular","Synkkänen","","265 Km/h","","Finland","27,0 psi","26,9 psi","27,0 psi","27,1 psi","22,5695357833656","828,765","16159","0","","0","1","True","3","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","17","2","51,9L","","1:45,095","0:22,305","0:33,382","0:49,407","+1,970","0","+2,449","+3,882","-2,552","-2,466","OPTIMUM","Dry","3","0","+1","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","29:00,766","","20,4°C","20,4°C","72,2°C","77,5°C","83,1°C","87,6°C","71","248","0","","489,3°C","492,1°C","481,5°C","483,2°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","1","57:19,802","Regular","Synkkänen","","265 Km/h","","Finland","26,9 psi","26,9 psi","27,0 psi","27,0 psi","24,6397198067633","828,765","16159","0","","0","1","True","2","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","18","6","49,5L","","2:00,245","0:21,777","0:32,447","","+9,445","0","+17,599","+19,032","+12,598","+12,684","OPTIMUM","Dry","2","0","-4","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","31:00,759","","20,4°C","20,4°C","72,1°C","78,0°C","83,0°C","87,7°C","71","248","0","","490,5°C","492,7°C","481,6°C","483,1°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","59:20,052","Inlap","Synkkänen","","264 Km/h","","Finland","26,9 psi","26,9 psi","26,9 psi","27,0 psi","22,7060019361084","828,765","16159","0","","0","1","True","6","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","19","8","47,8L","","2:08,327","0:48,370","0:32,632","0:47,325","+0,958","0","+25,681","+27,114","+20,680","+20,766","OPTIMUM","Dry","6","0","-2","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","33:09,069","","20,3°C","20,3°C","69,4°C","75,8°C","78,6°C","83,8°C","71","248","0","","458,9°C","460,9°C","454,7°C","456,4°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","61:28,370","Outlap","Synkkänen","","239 Km/h","","Finland","26,7 psi","26,7 psi","26,5 psi","26,7 psi","28,1851600387973","828,765","16159","0","","0","1","True","8","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
Imola (2022),"Ferrari 296 GT3","1","Ville Synkkänen (SYN)","","20","4","45,2L","","1:42,207","0:22,352","0:32,485","0:47,370","+9,457","0","-0,439","+0,994","-5,440","-5,354","OPTIMUM","Dry","8","0","+4","0,0 Km/h","N","45,2%","Optimum","No Rain","DHE","3","0","0","0","0","","34:51,386","","20,3°C","20,3°C","71,2°C","77,0°C","82,3°C","87,3°C","71","248","0","","462,5°C","466,4°C","459,1°C","461,1°C","1","1","","Gold","Pro","3,607559","0","0","0","0","1","","Ville","0","63:10,580","Regular","Synkkänen","","263 Km/h","","Finland","26,8 psi","26,8 psi","26,9 psi","27,0 psi","22,5725742574257","828,765","16159","0","","0","1","True","4","","d1575cb9-9964-4a5b-aaec-e50a6a2a0bff","Syn","","0.0"
